               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11528,            0.044911,                   0,           0.0056653,             0.12403,           0.0030329,          0.00054999,             0.11181,            0.045476,                   0,             0.00012,             0.00012,             0.09892
                   1,             0.10338,            0.047438,                   0,           0.0075638,             0.17054,           0.0042531,          0.00090079,            0.092368,            0.051735,                   0,          0.00024999,          0.00024999,             0.09775
                   2,            0.090556,            0.051879,                   0,            0.014842,             0.23256,            0.010808,           0.0023774,            0.074708,             0.05814,                   0,          0.00037996,          0.00037996,             0.09658
                   3,             0.08353,            0.057878,                   0,             0.34252,             0.27463,             0.17754,            0.036869,            0.068554,            0.058272,                   0,          0.00050989,          0.00050989,             0.09541
                   4,            0.074827,            0.052283,                   0,             0.87018,             0.47287,              0.5829,              0.2012,            0.063317,            0.054958,                   0,          0.00063975,          0.00063975,             0.09424
                   5,            0.067778,            0.052612,                   0,             0.76458,             0.63566,             0.76234,             0.30031,            0.058206,            0.047749,                   0,          0.00076953,          0.00076953,             0.09307
                   6,            0.059821,            0.048532,                   0,             0.79523,             0.81285,             0.84114,             0.32219,            0.054302,            0.041858,                   0,           0.0008992,           0.0008992,            0.091899
                   7,            0.056923,            0.038236,                   0,             0.75595,             0.79845,             0.82004,             0.30894,            0.046563,            0.039385,                   0,           0.0010288,           0.0010288,            0.090729
                   8,             0.05328,            0.037102,                   0,             0.97219,             0.81294,             0.89995,             0.41464,            0.043912,            0.035834,                   0,           0.0011582,           0.0011582,            0.089558
                   9,            0.050677,            0.034441,                   0,             0.87609,             0.76731,             0.86448,             0.36415,            0.043159,            0.031662,                   0,           0.0012874,           0.0012874,            0.088387
                  10,            0.050804,            0.032381,                   0,             0.81748,               0.868,             0.86859,             0.43868,            0.040339,            0.029792,                   0,           0.0014165,           0.0014165,            0.087216
                  11,            0.049003,             0.02939,                   0,              0.9268,             0.88328,             0.93266,             0.51047,            0.040204,            0.028053,                   0,           0.0015454,           0.0015454,            0.086045
                  12,             0.05065,            0.029818,                   0,             0.67989,             0.72868,             0.76047,             0.27558,            0.064004,             0.02675,                   0,            0.001674,            0.001674,            0.084874
                  13,             0.06338,            0.026539,                   0,             0.56119,             0.77519,             0.66254,              0.2785,            0.048845,            0.028674,                   0,           0.0018025,           0.0018025,            0.083702
                  14,            0.058264,            0.028103,                   0,             0.70418,             0.77503,             0.74128,             0.21616,            0.059291,            0.026707,                   0,           0.0019306,           0.0019306,            0.082531
                  15,             0.05612,            0.028189,                   0,             0.48832,             0.83721,             0.62951,             0.14081,             0.05427,            0.026936,                   0,           0.0020585,           0.0020585,            0.081359
                  16,            0.055715,            0.027006,                   0,             0.65982,             0.75194,             0.68743,              0.3492,            0.048288,            0.025893,                   0,           0.0021861,           0.0021861,            0.080186
                  17,            0.056588,            0.026728,                   0,             0.66007,             0.84496,             0.78554,             0.40079,            0.044653,             0.02549,                   0,           0.0023134,           0.0023134,            0.079013
                  18,            0.051046,            0.025407,                   0,             0.77949,             0.85271,             0.87875,             0.44709,            0.039569,            0.025624,                   0,           0.0024404,           0.0024404,             0.07784
                  19,            0.048948,            0.024748,                   0,             0.69724,             0.80337,              0.7797,              0.3009,            0.046519,            0.024006,                   0,            0.002567,            0.002567,            0.076667
                  20,            0.048245,            0.024217,                   0,             0.53226,             0.81395,             0.60469,             0.20641,            0.038029,            0.024359,                   0,           0.0026933,           0.0026933,            0.075493
                  21,            0.048086,            0.024347,                   0,             0.68954,             0.82643,             0.81216,             0.35592,            0.039385,            0.023954,                   0,           0.0028191,           0.0028191,            0.074319
                  22,            0.047469,            0.023329,                   0,             0.67061,              0.8062,             0.71104,             0.32196,            0.041843,            0.023756,                   0,           0.0029446,           0.0029446,            0.073145
                  23,             0.04453,            0.021966,                   0,             0.85188,              0.8062,             0.85628,             0.41622,             0.04151,            0.023528,                   0,           0.0030696,           0.0030696,             0.07197
                  24,            0.043227,             0.02278,                   0,             0.96625,             0.90698,             0.96885,             0.49091,            0.035887,            0.023399,                   0,           0.0031942,           0.0031942,            0.070794
                  25,            0.044116,            0.023177,                   0,             0.95155,             0.91344,             0.96706,             0.55561,            0.037678,             0.02298,                   0,           0.0033183,           0.0033183,            0.069618
                  26,            0.044873,            0.021625,                   0,             0.96093,             0.95337,             0.97018,             0.43908,            0.037094,            0.023508,                   0,            0.003442,            0.003442,            0.068442
                  27,            0.044003,            0.021504,                   0,             0.99082,             0.88372,             0.96752,             0.48421,            0.033483,            0.022749,                   0,           0.0035651,           0.0035651,            0.067265
                  28,            0.040587,            0.022157,                   0,             0.98155,             0.86822,             0.96573,             0.50488,            0.032275,            0.022232,                   0,           0.0036878,           0.0036878,            0.066088
                  29,             0.04161,            0.021511,                   0,             0.97442,             0.89147,             0.97394,             0.49016,            0.034449,            0.021974,                   0,           0.0038099,           0.0038099,             0.06491
                  30,            0.039737,            0.022146,                   0,                   1,             0.96123,             0.99124,             0.62581,            0.030021,            0.021634,                   0,           0.0039315,           0.0039315,            0.063731
                  31,            0.039031,            0.019831,                   0,             0.84878,             0.96124,             0.96895,             0.54275,            0.034498,            0.021695,                   0,           0.0040525,           0.0040525,            0.062552
                  32,            0.038067,            0.020012,                   0,              0.9655,             0.87597,             0.96726,             0.57255,            0.030251,            0.021853,                   0,           0.0041729,           0.0041729,            0.061373
                  33,            0.037259,            0.020828,                   0,             0.97638,             0.96114,             0.98664,              0.6595,            0.027554,            0.021521,                   0,           0.0042927,           0.0042927,            0.060193
                  34,            0.035341,            0.021004,                   0,             0.89915,             0.89846,             0.95726,             0.54955,            0.029988,            0.021395,                   0,           0.0044119,           0.0044119,            0.059012
                  35,            0.036718,            0.020618,                   0,             0.87323,             0.96119,             0.95421,             0.58253,            0.032713,            0.020995,                   0,           0.0045304,           0.0045304,             0.05783
                  36,             0.03614,            0.021681,                   0,                   1,             0.96119,             0.98933,             0.60922,            0.026885,            0.021455,                   0,           0.0046483,           0.0046483,            0.056648
                  37,            0.036602,            0.020307,                   0,                   1,             0.91442,             0.98147,             0.57404,            0.026268,            0.021966,                   0,           0.0047655,           0.0047655,            0.055466
                  38,            0.036619,            0.019547,                   0,             0.76547,             0.73643,             0.81407,             0.31422,            0.037469,            0.021923,                   0,           0.0048821,           0.0048821,            0.054282
                  39,            0.043612,            0.020276,                   0,             0.93351,             0.76744,             0.92659,              0.5489,            0.033386,            0.021829,                   0,           0.0049979,           0.0049979,            0.053098
                  40,            0.043012,            0.021448,                   0,             0.93077,             0.93795,             0.96158,             0.39952,            0.039197,            0.023161,                   0,            0.005113,            0.005113,            0.051913
                  41,            0.042125,             0.01999,                   0,             0.96609,             0.88337,             0.96253,             0.43132,             0.03707,            0.021091,                   0,           0.0052274,           0.0052274,            0.050727
                  42,            0.039219,            0.020234,                   0,             0.96635,             0.89038,             0.96299,             0.64376,            0.035728,            0.021024,                   0,            0.005341,            0.005341,            0.049541
                  43,            0.040116,             0.02127,                   0,             0.97353,             0.88372,             0.95039,             0.53711,            0.035366,            0.020793,                   0,           0.0054539,           0.0054539,            0.048354
                  44,            0.039028,            0.020743,                   0,             0.99171,             0.96124,             0.98944,             0.61557,            0.029548,            0.020889,                   0,           0.0055659,           0.0055659,            0.047166
                  45,            0.039042,            0.019026,                   0,             0.74964,             0.88203,             0.85249,              0.5473,            0.030004,            0.020705,                   0,           0.0056772,           0.0056772,            0.045977
                  46,            0.036066,            0.018284,                   0,             0.99167,             0.92247,             0.98475,             0.66584,             0.02941,            0.020843,                   0,           0.0057876,           0.0057876,            0.044788
                  47,            0.037862,             0.02012,                   0,             0.95865,             0.89851,             0.97247,             0.58169,            0.031674,            0.021144,                   0,           0.0058972,           0.0058972,            0.043597
                  48,            0.037896,            0.018932,                   0,             0.95835,             0.89922,             0.96781,             0.62107,             0.03316,            0.022372,                   0,            0.006006,            0.006006,            0.042406
                  49,             0.03692,            0.020133,                   0,             0.99204,             0.96899,             0.99352,             0.60844,            0.033703,            0.020744,                   0,           0.0061139,           0.0061139,            0.041214
                  50,            0.035758,            0.019096,                   0,             0.99999,             0.96124,             0.99302,             0.56303,            0.032683,            0.021251,                   0,           0.0062209,           0.0062209,            0.040021
